# Ca = 77.6			
# De = 2.6			
# vol_rat = 0.80			
# strain_rate = 3.0			
# Note: time is non-dimensionalized by strain rate			
# Note: length is non-dimensionalized by initial length			
time	D	L_x	L_y
0.99	0.121495327	17.85425101	13.98582996
1.98	0.1481481481	18.44939271	13.68825911
2.97	0.1485148514	17.25910931	12.79554656
3.96	0.1881188118	17.85425101	12.20040486
4.95	0.1428571428	16.66396761	12.49797571
5.94	0.06422018345	17.25910931	15.17611336
6.93	0.01886792452	16.06882591	15.47368421
7.92	-0.1224489795	12.79554656	16.36639676
8.91	-0.229357798	12.49797571	19.93724696
9.9	-0.2881355933	12.49797571	22.61538462
10.89	-0.3278688525	12.20040486	24.10323887
11.88	-0.3684210526	10.71255061	23.21052632
12.87	-0.4086956521	10.11740891	24.10323887
13.86	-0.4414414415	9.224696356	23.80566802
14.85	-0.4385964913	9.522267206	24.40080972
15.84	-0.4260869566	9.819838057	24.40080972
16.83	-0.4358974359	9.819838057	24.99595142
17.82	-0.4453781513	9.819838057	25.59109312
18.81	-0.462184874	9.522267206	25.88866397
19.8	-0.3873873873	10.11740891	22.91295547
20.79	-0.3620689655	11.01012146	23.50809717
21.78	-0.3529411764	9.819838057	20.53238866
22.77	-0.2815533979	11.01012146	19.63967611
23.76	-0.04166666664	13.68825911	14.87854251
24.75	0.1886792452	18.74696356	12.79554656
25.74	0.3529411764	20.53238866	9.819838057
26.73	0.2920353981	21.72267206	11.90283401
27.72	0.3559322034	23.80566802	11.30769231
28.71	0.3548387097	24.99595142	11.90283401
29.7	0.3793103448	23.80566802	10.71255061
30.69	0.5	24.99595142	8.331983806
31.68	0.406779661	24.69838057	10.41497976
32.67	0.3442622951	24.40080972	11.90283401
33.66	0.4710743802	26.48380567	9.522267206
34.65	0.4035087719	23.80566802	10.11740891
35.64	0.3636363636	22.31781377	10.41497976
36.63	0.3454545452	22.02024291	10.71255061
37.62	0.05263157892	17.85425101	16.06882591
38.61	-0.1009174311	14.58097166	17.85425101
39.6	-0.2173913042	13.39068826	20.82995951
40.59	-0.3157894737	11.60526316	22.31781377
41.58	-0.3620689655	11.01012146	23.50809717
42.57	-0.328358209	13.39068826	26.48380567
43.56	-0.3636363636	12.49797571	26.78137652
44.55	-0.2631578948	14.58097166	24.99595142
45.54	-0.2932330827	13.98582996	25.59109312
46.53	-0.4308943089	10.41497976	26.18623482
47.52	-0.4529914531	9.522267206	25.29352227
48.51	-0.4214876032	10.41497976	25.59109312
49.5	-0.4285714287	9.522267206	23.80566802
50.49	-0.3949579831	10.71255061	24.69838057
51.48	-0.3035714284	11.60526316	21.72267206
52.47	-0.1962616821	12.79554656	19.04453441
53.46	-0.01886792452	15.47368421	16.06882591
54.45	0.1775700933	18.74696356	13.09311741
55.44	0.3157894737	22.31781377	11.60526316
56.43	0.4464285715	24.10323887	9.224696356
57.42	0.3565217391	23.21052632	11.01012146
58.41	0.3870967741	25.59109312	11.30769231
59.4	0.4745762712	25.88866397	9.224696356
60.39	0.4193548386	26.18623482	10.71255061
61.38	0.4796747968	27.07894737	9.522267206
