# volRat = 0.800
# viscRat = 1.000
# Ca = 77.600
# W = 0.034
time,Ca_x,x_len,y_len,major_len,minor_len
0.0,-0.0,3.268802,1.2859115,3.2688019999999947,1.2830124569993484
0.01,-0.0021051796822180264,3.2690024,1.2858334999999999,3.269002399999995,1.2829704818276544
0.02,-0.004210350034729358,3.2691744,1.2857799,3.2691743999999945,1.2829277696770949
0.03,-0.006315501727868646,3.269315,1.2857509,3.2693149999999953,1.2828840705256295
0.04,-0.00842062543205324,3.2694226,1.2857465000000001,3.2694225999999946,1.2828395777508623
0.05,-0.010525711817824525,3.2694952,1.285767,3.269495199999996,1.2827938194451782
0.06,-0.012630751555889275,3.2695314,1.2858123,3.2695313999999946,1.2827469962859475
0.07,-0.014735735317161004,3.2695304,1.2858827000000002,3.2695303999999954,1.2826989435783933
0.08,-0.01684065377280129,3.2694912,1.2859781,3.2694911999999956,1.2826493207245377
0.09,-0.01894549759426114,3.2694132,1.2860983,3.2694131999999945,1.2825982626780954
0.1,-0.021050257453322327,3.2692958,1.2862434999999999,3.2692957999999948,1.2825455432898591
0.11,-0.023154924022138715,3.2691388,1.2864137,3.2691387999999946,1.2824912190739979
0.12,-0.02525948797327762,3.2689418,1.2866089,3.268941799999996,1.2824347222848074
0.13,-0.027363939979761144,3.268705,1.2868289000000002,3.268704999999995,1.282376717747157
0.14,-0.029468270715107485,3.268428,1.2870739,3.2684279999999957,1.2823159958074108
0.15,-0.0315724708533723,3.2681108,1.2873437,3.2681107999999943,1.282253285374778
0.16,-0.03367653106919004,3.2677536,1.2876385,3.2677535999999954,1.282188144450724
0.17,-0.035780442037815226,3.2673564,1.2879583000000001,3.267356399999995,1.2879581579951611
0.18,-0.037884194435163825,3.2669192,1.2883031,3.2669191999999945,1.2883029629383798
0.19,-0.039987778937854594,3.2664422,1.2886729,3.2664421999999957,1.2886727645561713
0.2,-0.04209118622325032,3.2659252,1.2890679,3.2659251999999945,1.289067762044869
0.21,-0.044194406969499174,3.2653687,1.2894879000000001,3.265368699999995,1.2894877611367435
0.22,-0.04629743185557607,3.2647726,1.2899330999999998,3.2647725999999953,1.2899329676005526
0.23,-0.04840025156132389,3.2641368,1.2904037000000002,3.2641367999999957,1.2904035999975958
0.24,-0.050502856767494865,3.2634616,1.2908998999999999,3.2634615999999945,1.290899763643518
0.25,-0.05260523815579183,3.2627468,1.2914216,3.2627467999999946,1.2914214999999492
0.26,-0.05470738640890952,3.2619926,1.2919691,3.261992599999995,1.2919689635222016
0.27,-0.056809292210575894,3.261199,1.2925425000000001,3.2611989999999955,1.2925423659682438
0.28,-0.05891094624559339,3.2603658,1.293142,3.2603657999999935,1.2931418539057173
0.29,-0.06101233919988023,3.2594932,1.2937679,3.259493199999996,1.2937677679585655
0.3,-0.06311346176051169,3.258581,1.2944202,3.258580999999994,1.2944200560498365
0.31,-0.06521430461576139,3.2576288,1.2951308,3.2576287999999947,1.2951306678099468
0.32,-0.0673148584551425,3.256637,1.295941,3.2566369999999942,1.2959408407360224
0.33,-0.06941511396944908,3.255605,1.2967808,3.2556049999999956,1.2967806401399118
0.34,-0.0715150618507973,3.254533,1.2976508,3.2545329999999946,1.297650650815609
0.35,-0.07361469279266665,3.2534204,1.298551,3.253420399999994,1.2985508737848774
0.36,-0.07571399748994133,3.2522672,1.299482,3.2522671999999946,1.2994818595412823
0.37,-0.0778129666389513,3.251073,1.3004441,3.2510729999999937,1.3004439626681927
0.38,-0.07991159093751361,3.2498375,1.3014376,3.2498374999999955,1.3014374888003388
0.39,-0.08200986108497364,3.2485605,1.3024626,3.2485604999999937,1.3024625274506958
0.4,-0.08410776778224627,3.2472416,1.30352,3.2472415999999953,1.3035198509622266
0.41,-0.0862053017318571,3.2458804,1.3046098,3.2458803999999937,1.3046096403602285
0.42,-0.08830245363798374,3.2444764,1.3057324,3.244476399999995,1.3057322541956506
0.43,-0.09039921420649684,3.2430294,1.3068884,3.2430293999999957,1.306888237862761
0.44,-0.09249557414500144,3.2415388,1.3080782,3.241538799999995,1.3080780356148836
0.45,-0.09459152416287804,3.2400042,1.309302,3.240004199999995,1.309301851036845
0.46,-0.09668705497132388,3.238425,1.3105604,3.238424999999994,1.3105602299579775
0.47,-0.09878215728339398,3.2368008,1.3118539,3.2368007999999957,1.3118537371321892
0.48,-0.10087682181404242,3.2351308,1.3131828,3.235130799999995,1.3131826329433687
0.49,-0.10297103928016342,3.2334148,1.3145478,3.2334147999999945,1.314547646992343
0.5,-0.10506480040063246,3.2316518,1.315949,3.2316517999999936,1.3159488453851949
0.51,-0.10715809589634748,3.2298416,1.3173872,3.2298415999999945,1.3173870663578264
0.52,-0.10925091649026997,3.2279832,1.3188629,3.227983199999994,1.3188627498843788
0.53,-0.11134325290746605,3.226076,1.3203764,3.2260759999999937,1.320376228107611
0.54,-0.11343509587514766,3.2241196,1.3219282,3.2241195999999945,1.3219280472635342
0.55,-0.11552643612271359,3.222113,1.323519,3.222112999999993,1.3235188227582984
0.56,-0.1176172643817905,3.2200554,1.3251492,3.2200553999999943,1.325149062894678
0.57,-0.11970757138627418,3.2179464,1.3268194,3.2179463999999944,1.3268192369692802
0.58,-0.12179734787237047,3.215785,1.32853,3.2157849999999932,1.3285298221149986
0.59,-0.12388658457863636,3.2135705000000003,1.3302814,3.213570499999994,1.3302812414408445
0.6,-0.12597527224602098,3.211302,1.3320744,3.2113019999999945,1.3320742333835014
0.61,-0.12806340161790675,3.2089788,1.3339094,3.2089787999999935,1.333909240492739
0.62,-0.13015096344015029,3.2066002,1.335787,3.206600199999995,1.3357868346096788
0.63,-0.13223794846112355,3.204165,1.3377076,3.2041649999999944,1.3377074286572288
0.64,-0.13432434743175461,3.2016726,1.3396718,3.201672599999994,1.3396716215873243
0.65,-0.13641015110556892,3.199122,1.3416802,3.199121999999994,1.3416800390467127
0.66,-0.1384953502387301,3.1965125,1.343733,3.1965124999999937,1.3437328212766755
0.67,-0.14057993559008103,3.193843,1.345831,3.193842999999995,1.3458308450628709
0.68,-0.14266389792118464,3.1911128,1.3479748,3.191112799999994,1.3479746437989393
0.69,-0.14474722799636497,3.1883208,1.3501646,3.1883207999999925,1.3501644220667477
0.7,-0.1468299165827482,3.1854662,1.352401,3.1854661999999934,1.3524008243516703
0.71,-0.1489119544503033,3.1825481,1.3546844,3.1825480999999933,1.3546842197138647
0.72,-0.1509933323718832,3.1795655,1.3570154,3.1795654999999936,1.3570152330727692
0.73,-0.15307404112326553,3.1765176,1.3593944,3.176517599999994,1.3593942357792876
0.74,-0.1551540714831935,3.1734032,1.3618217000000001,3.1734031999999925,1.3618215243003822
0.75,-0.15723341423341686,3.1702218,1.3642978,3.1702217999999944,1.364297629831293
0.76,-0.15931206015873264,3.1669722,1.3668232,3.166972199999994,1.3668230197373066
0.77,-0.16139000004702614,3.1636534999999997,1.3693982,3.1636534999999926,1.3693980223361546
0.78,-0.1634672246893116,3.160265,1.372023,3.1602649999999928,1.372022820867218
0.79,-0.16554372487977306,3.1568056,1.3746982,3.1568055999999936,1.3746980230672987
0.8,-0.16761949141580523,3.1532744,1.3774238,3.153274399999995,1.3774236260042512
0.81,-0.16969451509805422,3.1496708,1.3802002,3.1496707999999933,1.3802000246405388
0.82,-0.17176878673045823,3.1459937,1.3830278,3.145993699999994,1.3830276235742502
0.83,-0.1738422971202885,3.1422424,1.3859064,3.1422423999999936,1.3859062275688447
0.84,-0.17591503707818984,3.1384160999999997,1.3888366,3.1384160999999935,1.3888364216246893
0.85,-0.1779869974182215,3.134514,1.3918182,3.134513999999993,1.3918180234715276
0.86,-0.18005816895789778,3.1305354,1.3948515000000001,3.130535399999993,1.3948513237644442
0.87,-0.18212854251822885,3.1264795000000003,1.3979365000000001,3.126479499999993,1.3979363120604256
0.88,-0.18419810892376132,3.1223456,1.4010732,3.122345599999993,1.4010730163777518
0.89,-0.18626685900261886,3.1181332,1.4042616,3.1181331999999924,1.4042614084605387
0.9,-0.18833478358654307,3.1138416,1.4075018,3.1138415999999927,1.4075016031589538
0.91,-0.19040187351093385,3.1094702,1.4107934,3.109470199999993,1.4107932136373722
0.92,-0.19246811961489022,3.1050184,1.4141363,3.1050183999999925,1.4141361046623093
0.93,-0.19453351274125077,3.1004859,1.4175305,3.100485899999993,1.4175303118853693
0.94,-0.19659804373663425,3.0958721000000002,1.4209756,3.0958720999999922,1.420975402148923
0.95,-0.19866170345148038,3.0911766,1.4244714,3.0911765999999927,1.4244712100903034
0.96,-0.20072448274009,3.0863991,1.4280174,3.0863990999999933,1.4280172143523293
