time,Ca_x,x_len,y_len,major_len,minor_len
0.0,-0.0,3.47988,1.387898,3.47988,1.3878981000000001
0.01,-0.00270415399682848,3.4777986,1.3877526,3.4777986,1.3876859000000001
0.02,-0.005408288219633057,3.4758738,1.3876206,3.4758738,1.3874540999552007
0.03,-0.008112382894534427,3.4740848,1.3875036,3.4740848,1.3872033
0.04,-0.010816418247942473,3.4724134,1.3874026,3.4724134,1.386934098771662
0.05,-0.013520374506700872,3.4708438,1.387319,3.4708438,1.387319
0.06,-0.016224231898231672,3.469362,1.3872538,3.469362,1.3872537999886996
0.07,-0.018927970650679887,3.4679562,1.3872076,3.4679562,1.3872076
0.08,-0.021631570993058066,3.4666156,1.3871812,3.4666156,1.3871812
0.09,-0.024335013155390894,3.4653316,1.3871754,3.4653316,1.3871754
0.1,-0.027038277368859723,3.464096,1.3871904,3.464096,1.3871904
0.11,-0.02974134386594716,3.4629022,1.3872266,3.4629022,1.3872265999999867
0.12,-0.03244419288058161,3.461744,1.3872846,3.461744,1.387284599999916
0.13,-0.03514680464828179,3.4606166,1.3873648,3.4606166,1.3873648
0.14,-0.03784915940630131,3.4595156,1.3874674,3.4595156,1.3874674
0.15,-0.04055123739377311,3.4584368,1.3875926,3.4584368,1.3875926
0.16,-0.043253018851854036,3.4573772,1.3877406,3.4573772,1.3877406
0.17,-0.045954484023869285,3.4563334,1.387912,3.4563334,1.387912
0.18,-0.0486556131554569,3.4553032,1.3881066,3.4553032,1.388106599999991
0.19,-0.051356386494712164,3.4542842,1.388325,3.4542842,1.388325
0.2,-0.05405678429233212,3.4532744,1.3885674,3.4532744,1.3885674
0.21,-0.05675678680175993,3.4522722,1.3888338,3.4522722,1.3888338
0.22,-0.05945637427932929,3.4512758,1.3891246,3.4512758,1.3891246
0.23,-0.062155526984408786,3.4502838,1.38944,3.4502838,1.38944
0.24,-0.06485422517954628,3.4492952,1.3897802,3.4492952,1.3897802
0.25,-0.06755244913061322,3.4483086,1.3901456,3.4483086,1.3901456
0.26,-0.0702501791069489,3.447323,1.3905366,3.447323,1.3905366
0.27,-0.07294739538150488,3.4463374,1.3909534,3.4463374,1.3909533999999977
0.28,-0.07564407823098908,3.445351,1.3913962,3.445351,1.3913961999999993
0.29,-0.07834020793601003,3.444363,1.3918656,3.444363,1.3918656
0.3,-0.0810357647812212,3.4433722,1.3923618,3.4433722,1.3923618
0.31,-0.08373072905546503,3.4423784,1.3928852,3.4423784,1.3928852
0.32,-0.08642508105191711,3.4413802,1.3934364,3.4413802,1.393436399999999
0.33,-0.0891188010682303,3.4403774,1.3940156,3.4403774,1.3940156
0.34,-0.09181186940667878,3.439369,1.3946236,3.439369,1.3946236
0.35,-0.09450426637430209,3.4383546,1.3952608,3.4383546,1.3952608
0.36,-0.0971959722830492,3.437333,1.3959274,3.437333,1.3959274
0.37,-0.09988696744992236,3.4363038,1.3966244,3.4363038,1.3966244
0.38,-0.10257723219712109,3.4352662,1.3973522,3.4352662,1.3973521999999976
0.39,-0.10526674685218614,3.4342194,1.3981112,3.4342194,1.3981111999999998
0.4,-0.10795549174814321,3.4331626,1.3989024,3.4331626,1.3989024
0.41,-0.11064344722364688,3.4320952,1.3997264,3.4320952,1.3997264
0.42,-0.11333059362312434,3.4310164,1.4005836,3.4310164,1.4005836
0.43,-0.11601691129691906,3.4299252,1.401475,3.4299252,1.4014749999999998
0.44,-0.11870238060143459,3.4288208,1.4024014,3.4288208,1.4024014
0.45,-0.12138698189927816,3.4277024,1.4033634,3.4277024,1.4033634
0.46,-0.12407069555940421,3.426569,1.404362,3.426569,1.404362
0.47,-0.12675350195725804,3.4254196,1.4053978,3.4254196,1.4053978
0.48,-0.12943538147491926,3.4242534,1.4064718,3.4242534,1.4064718
0.49,-0.13211631450124522,3.4230694,1.4075852,3.4230694,1.4075852
0.5,-0.13479628143201455,3.4218664,1.4087384,3.4218664,1.4087384
0.51,-0.1374752626700703,3.4206432,1.4099328,3.4206432,1.4099328
0.52,-0.14015323862546344,3.419399,1.4111692,3.419399,1.4111692
0.53,-0.142830189715596,3.4181324,1.4124486,3.4181324,1.4124486
0.54,-0.14550609636536432,3.4168422,1.4137722,3.4168422,1.4137722
0.55,-0.14818093900730211,3.4155272,1.4151412,3.4155272,1.4151412
0.56,-0.15085469808172372,3.4141858,1.4165564,3.4141858,1.4165564
0.57,-0.15352735403686688,3.412817,1.4180194,3.412817,1.4180194
0.58,-0.15619888732903597,3.4114192,1.4195308,3.4114192,1.4195307999999998
0.59,-0.15886927842274476,3.409991,1.4210924,3.409991,1.4210924
0.6,-0.1615385077908593,3.4085308,1.4227052,3.4085308,1.4227052
0.61,-0.1642065559147407,3.407037,1.4243704,3.407037,1.4243703999999997
0.62,-0.1668734032843879,3.405508,1.4260894,3.405508,1.4260894
0.63,-0.16953903039858031,3.403942,1.4278636,3.403942,1.4278636
0.64,-0.17220341776502038,3.4023376,1.4296942,3.4023376,1.4296942
0.65,-0.1748665459004762,3.4006926,1.4315828,3.4006926,1.4315828
0.66,-0.17752839533092393,3.3990054,1.4335304,3.3990054,1.4335304
0.67,-0.1801889465916902,3.397274,1.4355388,3.397274,1.4355388
0.68,-0.18284818022759447,3.3954964,1.4376094,3.3954964,1.4376094
0.69,-0.18550607679309128,3.3936704,1.4397434,3.3936704,1.4397434
0.7,-0.18816261685241248,3.3917942,1.4419424,3.3917942,1.4419424
0.71,-0.19081778097970922,3.3898654,1.444208,3.3898654,1.444208
0.72,-0.19347154975919423,3.387882,1.4465414,3.387882,1.4465414
0.73,-0.19612390378528355,3.3858418,1.4489444,3.3858418,1.4489444
0.74,-0.19877482366273863,3.3837422,1.4514182,3.3837422,1.4514182
0.75,-0.20142429000680806,3.381581,1.4539646,3.381581,1.4539646
0.76,-0.20407228344336933,3.379356,1.4565846,3.379356,1.4565846
0.77,-0.2067187846090705,3.3770644,1.4592802,3.3770644,1.4592802
0.78,-0.20936377415147184,3.374704,1.4620524,3.374704,1.4620524
0.79,-0.21200723272918726,3.3722724,1.464903,3.3722724,1.464903
0.8,-0.2146491410120258,3.3697668,1.467833,3.3697668,1.467833
0.81,-0.2172894796811331,3.3671846,1.4708442,3.3671846,1.4708441999999997
0.82,-0.21992822942913223,3.3645236,1.4739376,3.3645236,1.4739376
0.83,-0.22256537096026555,3.361781,1.4771146,3.361781,1.4771146
0.84,-0.22520088499053523,3.3589544,1.4803766,3.3589544,1.4803766
0.85,-0.22783475224784452,3.356041,1.4837246,3.356041,1.4837246
0.86,-0.23046695347213864,3.3530384,1.48716,3.3530384,1.48716
0.87,-0.23309746941554566,3.349944,1.4906838,3.349944,1.4906838
0.88,-0.2357262808425171,3.3467554,1.494297,3.3467554,1.494297
0.89,-0.23835336852996877,3.34347,1.4980006,3.34347,1.4980006
0.9,-0.24097871326742126,3.3400854,1.5017956,3.3400854,1.5017956
0.91,-0.2436022958571404,3.3365994,1.5056828,3.3365994,1.5056828
0.92,-0.24622409711427765,3.3330094,1.509663,3.3330094,1.509663
0.93,-0.2488440978670104,3.3293134,1.513737,3.3293134,1.513737
0.94,-0.25146227895668216,3.3255092,1.5179052,3.3255092,1.5179052
0.95,-0.2540786212379426,3.3215944,1.5221684,3.3215944,1.5221684
0.96,-0.25669310557888786,3.3175674,1.526527,3.3175674,1.526527
0.97,-0.2593057128611998,3.3134262,1.5309814,3.3134262,1.5309814
0.98,-0.26191642398028653,3.309169,1.5355318,3.309169,1.5355318
0.99,-0.2645252198454216,3.304794,1.5401786,3.304794,1.5401786
