#Ca = 1
#strain rate = 1
#EB = 1
#alpha = 0
#W = 1
#Viscosity ratio = 1
#Reduced volume ratio = 0.8
#Base Timestep = 0.001
time, ts, Ca_eff, sa_error, vol_error
0.00000, 0.00100, 0.00000, 0.0053135, -0.0020230
0.00100, 0.00100, 0.00628, 0.0053108, -0.0020237
0.00200, 0.00100, 0.01257, 0.0053082, -0.0020247
0.00300, 0.00100, 0.01885, 0.0053057, -0.0020260
0.00400, 0.00100, 0.02513, 0.0053032, -0.0020275
0.00500, 0.00100, 0.03141, 0.0053007, -0.0020292
0.00600, 0.00100, 0.03769, 0.0052983, -0.0020312
0.00700, 0.00100, 0.04397, 0.0052959, -0.0020334
0.00800, 0.00100, 0.05024, 0.0052936, -0.0020358
0.00900, 0.00100, 0.05652, 0.0052913, -0.0020384
0.01000, 0.00100, 0.06279, 0.0052891, -0.0020413
0.01100, 0.00100, 0.06906, 0.0052869, -0.0020443
0.01200, 0.00100, 0.07533, 0.0052848, -0.0020476
0.01300, 0.00100, 0.08159, 0.0052827, -0.0020510
0.01400, 0.00100, 0.08785, 0.0052807, -0.0020547
0.01500, 0.00100, 0.09411, 0.0052788, -0.0020585
0.01600, 0.00100, 0.10036, 0.0052770, -0.0020626
0.01700, 0.00100, 0.10661, 0.0052753, -0.0020668
0.01800, 0.00100, 0.11286, 0.0052736, -0.0020712
0.01900, 0.00100, 0.11910, 0.0052720, -0.0020758
0.02000, 0.00100, 0.12533, 0.0052705, -0.0020806
0.02100, 0.00100, 0.13156, 0.0052691, -0.0020855
0.02200, 0.00100, 0.13779, 0.0052678, -0.0020906
0.02300, 0.00100, 0.14401, 0.0052666, -0.0020959
0.02400, 0.00100, 0.15023, 0.0052656, -0.0021014
0.02500, 0.00100, 0.15643, 0.0052646, -0.0021071
0.02600, 0.00100, 0.16264, 0.0052637, -0.0021129
0.02700, 0.00100, 0.16883, 0.0052629, -0.0021188
0.02800, 0.00100, 0.17502, 0.0052623, -0.0021250
0.02900, 0.00100, 0.18121, 0.0052618, -0.0021312
0.03000, 0.00100, 0.18738, 0.0052614, -0.0021377
0.03100, 0.00100, 0.19355, 0.0052611, -0.0021443
0.03200, 0.00100, 0.19971, 0.0052609, -0.0021511
0.03300, 0.00100, 0.20586, 0.0052609, -0.0021580
0.03400, 0.00100, 0.21201, 0.0052610, -0.0021650
0.03500, 0.00100, 0.21814, 0.0052612, -0.0021722
0.03600, 0.00100, 0.22427, 0.0052615, -0.0021796
0.03700, 0.00100, 0.23039, 0.0052620, -0.0021871
0.03800, 0.00100, 0.23650, 0.0052627, -0.0021947
0.03900, 0.00100, 0.24260, 0.0052634, -0.0022025
0.04000, 0.00100, 0.24869, 0.0052643, -0.0022104
0.04100, 0.00100, 0.25477, 0.0052654, -0.0022184
0.04200, 0.00100, 0.26084, 0.0052666, -0.0022266
0.04300, 0.00100, 0.26690, 0.0052679, -0.0022349
0.04400, 0.00100, 0.27295, 0.0052694, -0.0022433
0.04500, 0.00100, 0.27899, 0.0052710, -0.0022519
0.04600, 0.00100, 0.28502, 0.0052728, -0.0022605
0.04700, 0.00100, 0.29104, 0.0052747, -0.0022693
0.04800, 0.00100, 0.29704, 0.0052768, -0.0022783
0.04900, 0.00100, 0.30304, 0.0052790, -0.0022873
0.05000, 0.00100, 0.30902, 0.0052813, -0.0022965
0.05100, 0.00100, 0.31499, 0.0052839, -0.0023057
0.05200, 0.00100, 0.32094, 0.0052865, -0.0023151
0.05300, 0.00100, 0.32689, 0.0052894, -0.0023246
0.05400, 0.00100, 0.33282, 0.0052924, -0.0023342
0.05500, 0.00100, 0.33874, 0.0052955, -0.0023439
0.05600, 0.00100, 0.34464, 0.0052988, -0.0023537
0.05700, 0.00100, 0.35053, 0.0053022, -0.0023636
0.05800, 0.00100, 0.35641, 0.0053058, -0.0023736
0.05900, 0.00100, 0.36228, 0.0053096, -0.0023837
0.06000, 0.00100, 0.36812, 0.0053135, -0.0023939
0.06100, 0.00100, 0.37396, 0.0053176, -0.0024042
0.06200, 0.00100, 0.37978, 0.0053218, -0.0024146
0.06300, 0.00100, 0.38558, 0.0053262, -0.0024251
0.06400, 0.00100, 0.39137, 0.0053308, -0.0024356
0.06500, 0.00100, 0.39715, 0.0053355, -0.0024463
0.06600, 0.00100, 0.40291, 0.0053403, -0.0024570
0.06700, 0.00100, 0.40865, 0.0053453, -0.0024679
0.06800, 0.00100, 0.41438, 0.0053505, -0.0024788
0.06900, 0.00100, 0.42009, 0.0053558, -0.0024897
0.07000, 0.00100, 0.42578, 0.0053613, -0.0025008
0.07100, 0.00100, 0.43146, 0.0053670, -0.0025119
0.07200, 0.00100, 0.43712, 0.0053728, -0.0025232
0.07300, 0.00100, 0.44276, 0.0053787, -0.0025344
0.07400, 0.00100, 0.44838, 0.0053848, -0.0025458
0.07500, 0.00100, 0.45399, 0.0053911, -0.0025572
0.07600, 0.00100, 0.45958, 0.0053975, -0.0025687
0.07700, 0.00100, 0.46515, 0.0054040, -0.0025802
0.07800, 0.00100, 0.47070, 0.0054107, -0.0025918
0.07900, 0.00100, 0.47624, 0.0054176, -0.0026035
0.08000, 0.00100, 0.48175, 0.0054246, -0.0026152
0.08100, 0.00100, 0.48725, 0.0054318, -0.0026270
0.08200, 0.00100, 0.49273, 0.0054391, -0.0026388
0.08300, 0.00100, 0.49819, 0.0054465, -0.0026507
0.08400, 0.00100, 0.50362, 0.0054541, -0.0026627
0.08500, 0.00100, 0.50904, 0.0054619, -0.0026746
0.08600, 0.00100, 0.51444, 0.0054698, -0.0026867
0.08700, 0.00100, 0.51982, 0.0054778, -0.0026987
0.08800, 0.00100, 0.52517, 0.0054860, -0.0027109
0.08900, 0.00100, 0.53051, 0.0054943, -0.0027230
0.09000, 0.00100, 0.53583, 0.0055027, -0.0027352
0.09100, 0.00100, 0.54112, 0.0055113, -0.0027474
0.09200, 0.00100, 0.54639, 0.0055201, -0.0027597
0.09300, 0.00100, 0.55165, 0.0055289, -0.0027720
0.09400, 0.00100, 0.55688, 0.0055379, -0.0027843
0.09500, 0.00100, 0.56208, 0.0055470, -0.0027967
0.09600, 0.00100, 0.56727, 0.0055563, -0.0028091
0.09700, 0.00100, 0.57243, 0.0055656, -0.0028215
0.09800, 0.00100, 0.57757, 0.0055752, -0.0028340
0.09900, 0.00100, 0.58269, 0.0055848, -0.0028464
0.10000, 0.00100, 0.58779, 0.0056908, -0.0028420
0.10100, 0.00100, 0.59286, 0.0056988, -0.0028553
0.10200, 0.00100, 0.59790, 0.0057070, -0.0028687
0.10300, 0.00100, 0.60293, 0.0057154, -0.0028821
0.10400, 0.00100, 0.60793, 0.0057239, -0.0028954
0.10500, 0.00100, 0.61291, 0.0057326, -0.0029088
0.10600, 0.00100, 0.61786, 0.0057415, -0.0029221
0.10700, 0.00100, 0.62279, 0.0057505, -0.0029355
0.10800, 0.00100, 0.62769, 0.0057596, -0.0029488
0.10900, 0.00100, 0.63257, 0.0057689, -0.0029622
0.11000, 0.00100, 0.63742, 0.0057783, -0.0029755
0.11100, 0.00100, 0.64225, 0.0057879, -0.0029889
0.11200, 0.00100, 0.64706, 0.0057976, -0.0030022
0.11300, 0.00100, 0.65183, 0.0058075, -0.0030155
0.11400, 0.00100, 0.65659, 0.0058175, -0.0030288
0.11500, 0.00100, 0.66131, 0.0058276, -0.0030421
0.11600, 0.00100, 0.66601, 0.0058378, -0.0030553
0.11700, 0.00100, 0.67069, 0.0058482, -0.0030686
0.11800, 0.00100, 0.67533, 0.0058587, -0.0030818
0.11900, 0.00100, 0.67995, 0.0058693, -0.0030950
0.12000, 0.00100, 0.68455, 0.0058800, -0.0031081
0.12100, 0.00100, 0.68911, 0.0058909, -0.0031213
0.12200, 0.00100, 0.69365, 0.0059018, -0.0031344
0.12300, 0.00100, 0.69817, 0.0059129, -0.0031475
0.12400, 0.00100, 0.70265, 0.0059241, -0.0031605
0.12500, 0.00100, 0.70711, 0.0059354, -0.0031735
0.12600, 0.00100, 0.71154, 0.0059467, -0.0031865
0.12700, 0.00100, 0.71594, 0.0059582, -0.0031995
0.12800, 0.00100, 0.72031, 0.0059698, -0.0032124
0.12900, 0.00100, 0.72465, 0.0059814, -0.0032253
0.13000, 0.00100, 0.72897, 0.0059932, -0.0032381
0.13100, 0.00100, 0.73326, 0.0060050, -0.0032509
0.13200, 0.00100, 0.73751, 0.0060169, -0.0032636
0.13300, 0.00100, 0.74174, 0.0060289, -0.0032763
0.13400, 0.00100, 0.74594, 0.0060409, -0.0032890
0.13500, 0.00100, 0.75011, 0.0060531, -0.0033016
0.13600, 0.00100, 0.75425, 0.0060653, -0.0033142
0.13700, 0.00100, 0.75836, 0.0060775, -0.0033267
0.13800, 0.00100, 0.76244, 0.0060898, -0.0033392
0.13900, 0.00100, 0.76649, 0.0061022, -0.0033517
0.14000, 0.00100, 0.77051, 0.0061147, -0.0033640
0.14100, 0.00100, 0.77450, 0.0061272, -0.0033764
0.14200, 0.00100, 0.77846, 0.0061397, -0.0033886
0.14300, 0.00100, 0.78239, 0.0061523, -0.0034008
0.14400, 0.00100, 0.78629, 0.0061649, -0.0034130
0.14500, 0.00100, 0.79016, 0.0061776, -0.0034251
0.14600, 0.00100, 0.79399, 0.0061903, -0.0034371
0.14700, 0.00100, 0.79779, 0.0062030, -0.0034490
0.14800, 0.00100, 0.80157, 0.0062158, -0.0034609
0.14900, 0.00100, 0.80531, 0.0062286, -0.0034727
0.15000, 0.00100, 0.80902, 0.0062414, -0.0034845
0.15100, 0.00100, 0.81269, 0.0062543, -0.0034961
0.15200, 0.00100, 0.81634, 0.0062671, -0.0035077
0.15300, 0.00100, 0.81995, 0.0062800, -0.0035193
0.15400, 0.00100, 0.82353, 0.0062929, -0.0035307
0.15500, 0.00100, 0.82708, 0.0063058, -0.0035421
0.15600, 0.00100, 0.83060, 0.0063187, -0.0035534
0.15700, 0.00100, 0.83408, 0.0063316, -0.0035646
0.15800, 0.00100, 0.83753, 0.0063445, -0.0035757
0.15900, 0.00100, 0.84094, 0.0063574, -0.0035868
0.16000, 0.00100, 0.84433, 0.0063703, -0.0035978
0.16100, 0.00100, 0.84768, 0.0063832, -0.0036087
0.16200, 0.00100, 0.85099, 0.0063961, -0.0036195
0.16300, 0.00100, 0.85428, 0.0064089, -0.0036302
0.16400, 0.00100, 0.85753, 0.0064217, -0.0036409
0.16500, 0.00100, 0.86074, 0.0064346, -0.0036514
0.16600, 0.00100, 0.86392, 0.0064474, -0.0036619
0.16700, 0.00100, 0.86707, 0.0064601, -0.0036723
0.16800, 0.00100, 0.87018, 0.0064729, -0.0036826
0.16900, 0.00100, 0.87326, 0.0064856, -0.0036928
0.17000, 0.00100, 0.87631, 0.0064982, -0.0037029
0.17100, 0.00100, 0.87932, 0.0065108, -0.0037128
0.17200, 0.00100, 0.88229, 0.0065234, -0.0037227
0.17300, 0.00100, 0.88523, 0.0065360, -0.0037325
0.17400, 0.00100, 0.88814, 0.0065485, -0.0037422
0.17500, 0.00100, 0.89101, 0.0065609, -0.0037518
