#Ca = 6
#strain rate = 1
#EB = 0.166667
#alpha = 0
#W = 0.166667
#Viscosity ratio = 1
#Reduced volume ratio = 0.8
#Base Timestep = 0.001
time, ts, Ca_eff, sa_error, vol_error
0.00000, 0.00100, 0.00000, 0.0053135, -0.0020230
0.00100, 0.00100, 0.00628, 0.0053106, -0.0020067
0.00200, 0.00100, 0.01257, 0.0053074, -0.0019905
0.00300, 0.00100, 0.01885, 0.0053039, -0.0019746
0.00400, 0.00100, 0.02513, 0.0052999, -0.0019589
0.00500, 0.00100, 0.03142, 0.0052956, -0.0019433
0.00600, 0.00100, 0.03770, 0.0052910, -0.0019280
0.00700, 0.00100, 0.04398, 0.0052860, -0.0019128
0.00800, 0.00100, 0.05026, 0.0052807, -0.0018979
0.00900, 0.00100, 0.05655, 0.0052750, -0.0018831
0.01000, 0.00100, 0.06283, 0.0052691, -0.0018685
0.01100, 0.00100, 0.06911, 0.0052628, -0.0018541
0.01200, 0.00100, 0.07540, 0.0052562, -0.0018399
0.01300, 0.00100, 0.08168, 0.0052494, -0.0018259
0.01400, 0.00100, 0.08796, 0.0052422, -0.0018120
0.01500, 0.00100, 0.09424, 0.0052348, -0.0017983
0.01600, 0.00100, 0.10053, 0.0052271, -0.0017848
0.01700, 0.00100, 0.10681, 0.0052192, -0.0017715
0.01800, 0.00100, 0.11309, 0.0052110, -0.0017583
0.01900, 0.00100, 0.11937, 0.0052025, -0.0017453
0.02000, 0.00100, 0.12565, 0.0051938, -0.0017325
0.02100, 0.00100, 0.13194, 0.0051848, -0.0017198
0.02200, 0.00100, 0.13822, 0.0051757, -0.0017073
0.02300, 0.00100, 0.14450, 0.0051663, -0.0016950
0.02400, 0.00100, 0.15078, 0.0051567, -0.0016828
0.02500, 0.00100, 0.15706, 0.0051468, -0.0016708
0.02600, 0.00100, 0.16334, 0.0051368, -0.0016590
0.02700, 0.00100, 0.16962, 0.0051266, -0.0016473
0.02800, 0.00100, 0.17590, 0.0051162, -0.0016358
0.02900, 0.00100, 0.18218, 0.0051055, -0.0016244
0.03000, 0.00100, 0.18846, 0.0050948, -0.0016131
0.03100, 0.00100, 0.19474, 0.0050838, -0.0016020
0.03200, 0.00100, 0.20102, 0.0050726, -0.0015911
0.03300, 0.00100, 0.20730, 0.0050613, -0.0015803
0.03400, 0.00100, 0.21358, 0.0050499, -0.0015697
0.03500, 0.00100, 0.21986, 0.0050383, -0.0015592
0.03600, 0.00100, 0.22614, 0.0050265, -0.0015488
0.03700, 0.00100, 0.23242, 0.0050146, -0.0015386
0.03800, 0.00100, 0.23870, 0.0050025, -0.0015285
0.03900, 0.00100, 0.24498, 0.0049903, -0.0015186
0.04000, 0.00100, 0.25125, 0.0049780, -0.0015088
0.04100, 0.00100, 0.25753, 0.0049656, -0.0014991
0.04200, 0.00100, 0.26381, 0.0049530, -0.0014895
0.04300, 0.00100, 0.27009, 0.0049403, -0.0014801
0.04400, 0.00100, 0.27636, 0.0049275, -0.0014709
0.04500, 0.00100, 0.28264, 0.0049146, -0.0014617
0.04600, 0.00100, 0.28891, 0.0049016, -0.0014527
0.04700, 0.00100, 0.29519, 0.0048885, -0.0014438
0.04800, 0.00100, 0.30147, 0.0048753, -0.0014351
0.04900, 0.00100, 0.30774, 0.0048620, -0.0014264
0.05000, 0.00100, 0.31402, 0.0048487, -0.0014179
0.05100, 0.00100, 0.32029, 0.0048352, -0.0014095
0.05200, 0.00100, 0.32656, 0.0048217, -0.0014012
0.05300, 0.00100, 0.33284, 0.0048081, -0.0013931
0.05400, 0.00100, 0.33911, 0.0047944, -0.0013850
0.05500, 0.00100, 0.34538, 0.0047806, -0.0013771
0.05600, 0.00100, 0.35166, 0.0047668, -0.0013693
0.05700, 0.00100, 0.35793, 0.0047529, -0.0013616
0.05800, 0.00100, 0.36420, 0.0047390, -0.0013541
0.05900, 0.00100, 0.37047, 0.0047250, -0.0013466
0.06000, 0.00100, 0.37674, 0.0047110, -0.0013392
0.06100, 0.00100, 0.38301, 0.0046969, -0.0013320
0.06200, 0.00100, 0.38928, 0.0046828, -0.0013249
0.06300, 0.00100, 0.39555, 0.0046686, -0.0013178
0.06400, 0.00100, 0.40182, 0.0046544, -0.0013109
0.06500, 0.00100, 0.40809, 0.0046402, -0.0013041
0.06600, 0.00100, 0.41436, 0.0046259, -0.0012974
0.06700, 0.00100, 0.42063, 0.0046116, -0.0012908
0.06800, 0.00100, 0.42690, 0.0045972, -0.0012843
